composite-in-(audio-video-cable) 1-Composite-Video-(CVBS)-Input
product-name Philips-107cm-42-Full-HD-LED-TV-42PFl4150-2-x-HDMI-1-x-USB-
refresh-rate 240-Hz
warranty-summary 1-Year-Philips-India-on-Site-Warranty
warranty-service-type On-site-Service,Customer-needs-to-call-the-nearby-Authorized-Service-Center,service-engineer-will-come-to-the-site-to-get-the-product-repaired-or-inspected.
analog-tv-reception PAL-B/G,NTSC,PAL
speaker-output-rms 16
number-of-speakers 2
sales-package TV-Unit,2-x-AAA-Batteries,Remote-Control,User-Manual,Warranty-Certificate,Power-Cord,Safety-/-Legal-Instructions,Table-Top-Stand,Wall-Mounting-Bracket,User-Manual:-English
domain TV
pc-d-sub 1
hdmi 2
screen-type LED
battery-type 2-AAA--Batteries
other-audio-features Multimedia-Applications:-Music-Playback-Formats:-MP3,WMA-(v2-upto-v9.2)
width-x-height-x-depth-(without-stand) 967-mm-x-565-mm-x-78-mm
covered-in-warranty Warranty-of-the-product-is-limited-to-manufacturing-defects-only.
usb 1
width-x-height-x-depth-(with-stand) 967-mm-x-616-mm-x-257-mm
smart-tv No
3d No
installation-&-demo-details We'll-facilitate-the-installation-and-demo-through-authorized-service-engineer-at-your-convenience.-The-installation-will-be-done-within-2-to-5-Business-days-of-delivery-of-the-TV.-The-service-engineer-will-install-your-new-TV,either-on-wall-mount-or-on-table-top.-Installation-and-demo-are-provided-free-of-cost.-The-engineer-will-also-help-you-understand-your-new-TV's-features.-The-process-generally-covers:-Wall-mounted-or-table-top-installation,as-requested-(Wall-mounted-mode-is-recommended-for-better-sound-experience),Physical-check-of-all-ports,including-power-and-USB-ports.-Accessories-also-checked,Demonstration-of-features-and-settings,Quick-run-through-on-how-to-operate-the-TV.
model-name 42PFl4150
not-covered-in-warranty Warranty-does-not-cover-any-external-accessories-(such-as-battery,cable,carrying-bag),damage-caused-to-the-product-due-to-improper-installation-by-customer,normal-wear-and-tear-to-magnetic-heads,audio,video,laser-pick-ups-and-TV-picture-tubes,panel,damages-caused-to-the-product-by-accident,lightening,ingress-of-water,fire,dropping-or-excessive-shock,any-damage-caused-due-to-tampering-of-the-product-by-an-unauthorised-agent,liability-for-loss-of-data,recorded-images-or-business-opportunity-loss.
other-connectivity-features Antenna-F-type
hd-technology-&-resolution Full-HD,1920-x-1080
led-display-type Edge-LED
other-convenience-features Ease-of-Installation:-Autostore,Fine-Tuning,Ease-of-Use:-Graphical-User-Interface,On-Screen-Display,On-screen-Display-Languages:-English
power-consumption 98-W,1-W-(Stand-By)
component-in-(rgb-cable) 1-Component-Video-(Y,Pb,Pr)-Input
other-video-features Picture-Enhancement:-Pixel-Precise-HD,Digital-Noise-Reduction
id 1098
weight-(with-stand) 14-kg
display-size 107-cm-(42)
weight-(without-stand) 13-kg
power-requirement AC-100---240-V,50/60-Hz
